Rank_In_Year	Released	Release_Year	Title	TheatricalDistributor	Genre	Full_Genre	ProductionMethod	CreativeType	MaximumTheaters	ProductionBudgetM	OpeningWkendRevenueM	DomBoxOfficeM	InflAdjDomBoxOfficeM	InternationalBoxOfficeM	WorldwideBoxOfficeM	MPAA_Rating	Runtime_h	IMDB_Rating	RottenTomatoes_Rating
32	8/4/23	2023	Meg 2: The Trench	Warner Bros.	Action	Action	Live Action	Science Fiction	3604	129	30	82.63	85.43	315.9	398.53	PG-13	1.933	5	27
33	7/7/23	2023	Insidious: The Red Door	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	3188	16	33.01	82.16	84.94	104.1	186.26	PG-13	1.783	5.5	39
34	8/18/23	2023	Blue Beetle	Warner Bros.	Action	Action	Live Action	Super Hero	3871	120	25.03	72.54	74.99	58.3	130.84	PG-13	2.117	5.9	78
35	10/20/23	2023	Killers of the Flower Moon	Paramount Pictures	Other	Western	Live Action	Historical Fiction	3786	200	23.25	68.04	70.31	88.4	156.43	R	3.433	7.5	93
36	7/28/23	2023	Haunted Mansion	Walt Disney	Comedy	Comedy	Live Action	Contemporary Fiction	3740	150	24.08	67.65	69.94	49.8	117.45	PG-13	2.05	6	38
37	4/21/23	2023	Evil Dead Rise	Warner Bros.	Horror	Horror	Live Action	Contemporary Fiction	3417	15	24.5	67.36	69.63	79.9	147.26	R	1.6	6.5	85
38	10/6/23	2023	The Exorcist: Believer	Universal	Horror	Horror	Live Action	Contemporary Fiction	3684	30	26.5	65.54	67.75	71.46	137	R	1.85	4.8	22
39	9/29/23	2023	PAW Patrol: The Mighty Movie	Paramount Pictures	Adventure	Adventure	Digital Animation	Kids Fiction	4027	30	22.76	65.34	67.55	136.4	201.74	PG	1.467	5.9	72
40	2/24/23	2023	Cocaine Bear	Universal	Comedy	Black Comedy	Live Action	Historical Fiction	3571	35	23.26	64.67	66.86	25.3	89.97	R	1.583	5.9	65
41	1/6/23	2023	A Man Called Otto	Sony Pictures	Comedy	Comedy	Live Action	Contemporary Fiction	3957	50	4.2	64.27	66.44	44.37	108.64				
42	11/22/23	2023	Wish	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	3900	200	19.7	63.97	66.02	173.98	237.95	PG	1.583	5.6	48
43	11/22/23	2023	Napoleon	Sony Pictures	Drama	Drama	Live Action	Dramatization	3500	200	20.64	61.52	63.57	156.39	217.92	R	2.633	6.3	58
44	12/25/23	2023	The Color Purple	Warner Bros.	Other	Musical	Live Action	Historical Fiction	3218	0	11.74	60.62	62.11	8.3	68.92	PG-13	2.35	6.8	81
45	3/17/23	2023	Shazam! Fury of the Gods	Warner Bros.	Action	Action	Live Action	Super Hero	4071	125	30.11	57.72	59.67	76.5	134.22	PG-13	2.167	5.9	49
46	12/1/23	2023	Godzilla Minus One	Toho International	Action	Action	Live Action	Science Fiction	2622	15	11.42	57.14	58.69	47.94	105.09	PG-13	2.067	7.7	99
47	9/29/23	2023	Saw X	Lionsgate	Horror	Horror	Live Action	Contemporary Fiction	3262	13	18.31	53.61	55.42	71.7	125.31	R	1.967	6.6	81
48	12/25/23	2023	The Boys in the Boat	Amazon MGM Studios	Drama	Drama	Live Action	Dramatization	2687	40	8.4	52.64	53.39	2.88	55.52	PG-13	2.05	7	57
49	4/5/23	2023	AIR	Amazon Studios	Drama	Drama	Live Action	Dramatization	3507	90	14.46	52.46	54.23	37.6	90.06	R	1.85	7.4	93
50	2/24/23	2023	Jesus Revolution	Lionsgate	Drama	Drama	Live Action	Dramatization	2575	15	15.88	52.1	53.87	1.28	53.38	PG-13	2	7.1	54
51	6/23/23	2023	No Hard Feelings	Sony Pictures	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	3208	45	15	50.45	52.16	33	83.45	R	1.717	6.3	71
52	7/28/23	2023	Talk To Me	A24	Horror	Horror	Live Action	Contemporary Fiction	2379	4.25	10.43	48.3	49.93	43.64	91.94				
53	12/8/23	2023	The Boy and the Heron	GKIDS	Adventure	Adventure	Hand Animation	Kids Fiction	2325	0	13.01	46.83	48.05	246.09	292.92	PG-13	2.067	7.3	96
54	8/25/23	2023	Gran Turismo: Based on a True Story	Sony Pictures	Action	Action	Live Action	Dramatization	3856	60	17.41	44.43	45.93	73.43	117.86				
55	6/2/23	2023	The Boogeyman	20th Century Studios	Horror	Horror	Live Action	Contemporary Fiction	3205	35	12.36	43.24	44.71	39.1	82.34	PG-13	1.633	5.9	60
56	9/15/23	2023	A Haunting in Venice	20th Century Studios	Thriller/Suspense	Thriller/Suspense	Live Action	Historical Fiction	3305	60	14.28	42.47	43.91	79.82	122.29	PG-13	1.717	6.5	76
57	9/29/23	2023	The Creator	20th Century Studios	Thriller/Suspense	Thriller/Suspense	Animation/Live Action	Science Fiction	3680	80	14.08	40.77	42.15	63.5	104.27	PG-13	2.217	6.7	67
58	2/3/23	2023	80 for Brady	Paramount Pictures	Comedy	Comedy	Live Action	Contemporary Fiction	3939	28	12.7	39.45	40.78	0.94	40.38	PG-13	1.633	5.9	59
59	12/22/23	2023	The Iron Claw	A24	Drama	Drama	Live Action	Dramatization	2774	15.9	4.87	35.61	36.15	10.53	46.14	R	2.2	7.6	89
60	2/3/23	2023	Knock at the Cabin	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3657	20	14.13	35.4	36.6	19.31	54.71	R	1.667	6.1	67
61	12/8/23	2023	Poor Things	Searchlight Pictures	Comedy	Black Comedy	Live Action	Science Fiction	2300	35	0.66	34.55	34.87	77.34	111.89	R	2.35	7.8	92
62	12/1/23	2023	RENAISSANCE: A FILM BY BEYONCE	AMC Theatres Distribution	Other	Concert/Performance	Live Action	Factual	2542	0	21.8	33.89	35.01	10.48	44.37	Not Rated	2.817	8.6	98
63	1/20/23	2023	Missing	Sony Pictures	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3025	7	9.15	32.5	33.6	14.04	46.54	PG-13	1.85	7.1	89
64	1/13/23	2023	Plane	Lionsgate	Action	Action	Live Action	Contemporary Fiction	3060	25	10.27	32.11	33.2	15.74	47.86	R	1.783	6.5	78
65	3/10/23	2023	65	Sony Pictures	Thriller/Suspense	Thriller/Suspense	Live Action	Science Fiction	3405	45	12.33	32.06	33.15	24.18	56.24	PG-13	1.55	5.4	35
66	11/17/23	2023	Thanksgiving	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	3204	15	10.31	31.95	33.02	14.1	46.04	R	1.767	6.2	83
67	9/8/23	2023	My Big Fat Greek Wedding 3	Focus Features	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	3678	0	10.03	28.5	29.46	10.37	38.86	PG-13	1.533	5.2	31
68	6/16/23	2023	Asteroid City	Focus Features	Comedy	Comedy	Live Action	Historical Fiction	1901	0	0.85	28.15	29.11	25.8	53.95	PG-13	1.75	6.4	76
69	2/10/23	2023	Magic Mike's Last Dance	Warner Bros.	Comedy	Comedy	Live Action	Contemporary Fiction	3034	45	8.31	26.03	26.91	31.1	57.13	R	1.867	5.2	48
70	8/18/23	2023	Strays	Universal	Comedy	Comedy	Animation/Live Action	Contemporary Fiction	3232	46	8.25	23.99	24.8	11.99	35.98	R	1.55	6.3	
71	12/15/23	2023	American Fiction	Amazon MGM Studios	Comedy	Comedy	Live Action	Contemporary Fiction	1902	10	0.22	21.1	21.15	1.93	23.03	R	1.95	7.5	93
72	10/27/23	2023	Priscilla	A24	Drama	Drama	Live Action	Dramatization	2361	20	0.13	20.86	21.57	10.11	30.98	R	1.883	6.5	84
73	4/28/23	2023	"Are You There God? It's Me, Margaret"	Lionsgate	Comedy	Comedy	Live Action	Historical Fiction	3343	30	6.74	20.37	21.06	1.21	21.58	PG-13	1.767	7.3	99
74	10/27/23	2023	The Holdovers	Focus Features	Comedy	Comedy	Live Action	Historical Fiction	1601	13	0.21	20.36	20.97	25.62	45.97	R	2.217	7.9	97
75	4/14/23	2023	The Pope's Exorcist	Sony Pictures	Horror	Horror	Live Action	Dramatization	3178	18	9.01	20.01	20.69	52.9	72.91	R	1.717	6.1	51
76	12/25/23	2023	Ferrari	Neon	Drama	Drama	Live Action	Dramatization	2386	95	3.92	18.55	18.91	22.44	40.99	R	2.167	6.4	73
77	6/16/23	2023	The Blackening	Lionsgate	Horror	Horror	Live Action	Contemporary Fiction	1775	5	6.01	17.71	18.31	0.86	18.56				
78	5/12/23	2023	Book Club: The Next Chapter	Focus Features	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	3513	0	6.68	17.58	18.18	11.54	29.12	PG-13	1.783	5.6	46
79	1/25/23	2023	Pathaan	Yash Raj Films	Thriller/Suspense	Thriller/Suspense	Live Action	Dramatization	697	0	6.89	17.49	18.08	88.4	105.88	Not Rated	2.433	5.8	82
80	4/14/23	2023	Renfield	Universal	Comedy	Black Comedy	Live Action	Contemporary Fiction	3378	86.2	8.03	17.3	17.88	9.58	26.87	R	1.55	6.4	58
81	9/28/23	2023	The Blind	Fathom Events	Drama	Drama	Live Action	Dramatization	1715	0	4.34	17.27	17.85	0	17.27	PG-13	1.8	6.2	
82	3/3/23	2023	Demon Slayer: Kimetsu No Yaiba	Crunchyroll	Adventure	Adventure	Digital Animation	Fantasy	1774	0	10.12	16.95	17.52	42.61	59.55	R	1.833	7.6	
83	4/21/23	2023	Guy Ritchie's The Covenant	MGM	Action	Action	Live Action	Contemporary Fiction	2631	0	6.38	16.94	17.51	3.77	20.7				
84	9/22/23	2023	Expend4bles	Lionsgate	Action	Action	Live Action	Contemporary Fiction	3518	100	8.04	16.71	17.28	34.42	51.13				
85	3/10/23	2023	Champions	Focus Features	Comedy	Comedy	Live Action	Contemporary Fiction	3039	0	5.15	16.4	16.95	2.72	19.12	PG-13	2.067	6.8	59
86	6/30/23	2023	"Ruby Gillman, Teenage Kraken"	Universal	Comedy	Comedy	Digital Animation	Kids Fiction	3408	70	5.5	15.75	16.29	30.49	46.25	PG	1.517	5.7	65
87	9/7/23	2023	Jawan	Yash Raj Films	Action	Action	Live Action	Contemporary Fiction	826	0	6.12	15.2	15.71	121.48	136.68	Not Rated	2.817	6.9	
88	12/1/23	2023	Animal	Moksha Movies	Action	Action	Live Action	Contemporary Fiction	700	0	6.52	15	15.5	6.65	21.65	Not Rated	3.4	6.2	26
89	9/15/23	2023	Dumb Money	Sony Pictures	Comedy	Comedy	Live Action	Dramatization	2837	30	0.22	13.92	14.39	4.04	17.96	R	1.75	6.8	84
90	8/11/23	2023	The Last Voyage of the Demeter	Universal	Horror	Horror	Live Action	Historical Fiction	2715	45	6.5	13.64	14.1	6.76	20.4	R	1.967	6.1	
91	7/7/23	2023	Joy Ride	Lionsgate	Comedy	Comedy	Live Action	Contemporary Fiction	2820	0	5.81	12.9	13.33	2.62	15.52	R	1.583	6.4	90
92	12/1/23	2023	The Shift	Angel Studios	Thriller/Suspense	Thriller/Suspense	Live Action	Science Fiction	2450	0	4.3	12.12	12.52	0.11	12.23	PG-13	1.917	5.6	30
93	5/26/23	2023	About My Father	Lionsgate	Comedy	Comedy	Live Action	Contemporary Fiction	2464	30	4.32	12.09	12.5	5.57	17.66	PG-13	1.5	5.8	37
94	3/31/23	2023	His Only Son	Angel Studios	Drama	Drama	Live Action	Dramatization	1930	0.25	5.5	12.08	12.49	1.42	13.51	PG-13	1.767	5.9	91
95	8/25/23	2023	Bottoms	MGM	Comedy	Comedy	Live Action	Contemporary Fiction	1815	11.3	0.46	12.04	12.44	0.94	12.97	R	1.517	6.7	91
96	10/27/23	2023	After Death	Angel Studios	Other	Documentary	Live Action	Factual	2730	0	5.05	11.48	11.87	0.35	11.83	PG-13	1.8	6.3	47
97	11/17/23	2023	Saltburn	Amazon MGM Studios	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	1566	0	0.32	11.43	11.81	9.6	21.03	R	2.183	7	72
98	6/2/23	2023	Past Lives	A24	Drama	Drama	Live Action	Contemporary Fiction	906	12	0.23	10.95	11.32	31.93	42.88	PG-13	1.75	7.8	95
99	4/14/23	2023	Suzume	Sony Pictures	Adventure	Adventure	Digital Animation	Contemporary Fiction	2170	0	5	10.93	11.3	304.06	314.99				
100	5/26/23	2023	The Machine	Sony Pictures	Action	Action	Live Action	Contemporary Fiction	2409	20	5	10.46	10.81	0.2	10.66	R	1.867	5.7	31
1	6/14/24	2024	Inside Out 2	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	4440	200	154.2	652.98	652.98	1045.85	1698.83	PG	1.6	7.5	91
2	7/26/24	2024	Deadpool & Wolverine	Walt Disney	Action	Action	Animation/Live Action	Super Hero	4330	200	211.44	636.75	636.75	701.33	1338.07	R	2.133	7.5	78
3	11/22/24	2024	Wicked	Universal	Other	Musical	Live Action	Fantasy	3888	145	112.51	474.98	474.98	282.93	757.91	PG	2.667	7.4	88
4	11/27/24	2024	Moana 2	Walt Disney	Other	Musical	Digital Animation	Kids Fiction	4200	150	139.79	460.41	460.41	598.73	1059.14	PG	1.667	6.3	60
5	7/3/24	2024	Despicable Me 4	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	4449	100	75.01	361	361	611.96	972.96	PG	1.567	6.2	55
6	9/6/24	2024	Beetlejuice Beetlejuice	Warner Bros.	Comedy	Comedy	Live Action	Science Fiction	4575	100	111	294.1	294.1	157.88	451.98	PG-13	1.75	6.6	75
7	3/1/24	2024	Dune: Part Two	Warner Bros.	Action	Action	Live Action	Science Fiction	4074	190	82.51	282.71	282.71	432.5	715.21	PG-13	2.767	8.4	92
8	7/19/24	2024	Twisters	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	4170	155	81.25	267.76	267.76	104.5	372.26	PG-13	2.033	6.5	75
9	12/20/24	2024	Mufasa: The Lion King	Walt Disney	Other	Musical	Animation/Live Action	Kids Fiction	4100	200	35.41	254.57	254.57	468.05	722.62	PG	1.967	6.6	56
10	12/20/24	2024	Sonic the Hedgehog 3	Paramount Pictures	Adventure	Adventure	Animation/Live Action	Kids Fiction	3769	122	60.1	236.12	236.12	253.5	489.62	PG	1.833	6.9	86
11	3/29/24	2024	Godzilla x Kong: The New Empire	Warner Bros.	Action	Action	Live Action	Science Fiction	3948	135	80.01	196.81	196.81	375.7	572.51	PG-13	1.917	6	54
12	3/8/24	2024	Kung Fu Panda 4	Universal	Comedy	Comedy	Digital Animation	Kids Fiction	4067	85	57.99	193.98	193.98	354.46	548.43	PG	1.567	6.3	71
13	6/7/24	2024	Bad Boys: Ride or Die	Sony Pictures	Action	Action	Live Action	Contemporary Fiction	3885	100	56.53	193.57	193.57	206.95	400.53	R	1.917	6.5	65
14	11/22/24	2024	Gladiator II	Paramount Pictures	Action	Action	Live Action	Historical Fiction	3580	250	55.03	172.44	172.44	287.94	460.38	R	2.467	6.5	70
15	5/10/24	2024	Kingdom of the Planet of the Apes	20th Century Studios	Action	Action	Animation/Live Action	Science Fiction	4075	160	58.4	171.13	171.13	226.24	397.37	PG-13	2.417	6.8	80
16	8/9/24	2024	It Ends With Us	Sony Pictures	Drama	Drama	Live Action	Contemporary Fiction	3839	25	50.02	148.52	148.52	201.2	349.72	PG-13	2.167	6.3	55
17	9/27/24	2024	The Wild Robot	Universal	Adventure	Adventure	Digital Animation	Science Fiction	3997	78	35.79	144.56	144.56	190.66	335.22	PG	1.7	8.2	97
18	10/25/24	2024	Venom: The Last Dance	Sony Pictures	Action	Action	Animation/Live Action	Super Hero	4131	110	51.01	139.76	139.76	334.74	474.49	PG-13	1.833	6	40
19	6/28/24	2024	A Quiet Place: Day One	Paramount Pictures	Horror	Horror	Live Action	Science Fiction	3708	67	52.2	139.05	139.05	122.02	261.07	PG-13	1.65	6.3	86
20	3/22/24	2024	Ghostbusters: Frozen Empire	Sony Pictures	Comedy	Comedy	Live Action	Science Fiction	4345	100	45	113.38	113.38	86.56	199.94	PG-13	1.917	6.1	42
21	5/17/24	2024	IF	Paramount Pictures	Comedy	Comedy	Animation/Live Action	Kids Fiction	4068	110	33.72	111.38	111.38	73.52	184.9	PG	1.733	6.4	51
22	8/16/24	2024	Alien: Romulus	20th Century Studios	Horror	Horror	Live Action	Science Fiction	3915	80	42	105.31	105.31	245.43	350.74	R	1.983	7.1	80
23	11/15/24	2024	Red One	Amazon MGM Studios	Action	Action	Live Action	Contemporary Fiction	4032	200	32.11	97	97	89	186	PG-13	2.05	6.2	30
24	2/14/24	2024	Bob Marley: One Love	Paramount Pictures	Drama	Drama	Live Action	Dramatization	3597	70	28.66	96.98	96.98	79.78	176.76	PG-13	1.783	6.2	43
25	12/25/24	2024	Nosferatu	Focus Features	Horror	Horror	Live Action	Fantasy	3132	50	21.65	95.61	95.61	86.2	181.81	R	2.2	7.1	85
26	5/3/24	2024	The Fall Guy	Universal	Action	Action	Live Action	Contemporary Fiction	4008	125	27.75	92.9	92.9	88.37	181.27	PG-13	2.1	6.8	82
27	5/24/24	2024	The Garfield Movie	Sony Pictures	Adventure	Adventure	Digital Animation	Kids Fiction	4108	60	24.01	91.96	91.96	163.48	255.44	PG	1.683	5.7	36
28	12/25/24	2024	A Complete Unknown	Searchlight Pictures	Drama	Drama	Live Action	Dramatization	2835	70	11.66	75	75	65.43	140.43	R	2.35	7.3	82
29	7/12/24	2024	Longlegs	Neon	Horror	Horror	Live Action	Historical Fiction	2850	10	22.4	74.35	74.35	51.07	125.41	R	1.683	6.6	85
30	1/12/24	2024	Mean Girls	Paramount Pictures	Other	Musical	Live Action	Contemporary Fiction	3826	36	28.64	72.58	72.58	32	104.58	PG-13	1.867	5.5	68
31	10/18/24	2024	Smile 2	Paramount Pictures	Horror	Horror	Live Action	Contemporary Fiction	3624	28	23.02	69.01	69.01	69.01	138.02	R	2.117	6.7	86
32	4/12/24	2024	Civil War	A24	Action	Action	Live Action	Science Fiction	3929	50	25.54	68.76	68.76	58.58	127.34	R	1.817	7	81
33	5/24/24	2024	Furiosa: A Mad Max Saga	Warner Bros.	Action	Action	Live Action	Science Fiction	3864	168	26.33	67.59	67.59	106.9	174.49	R	2.467	7.5	90
34	1/12/24	2024	The Beekeeper	Amazon MGM Studios	Action	Action	Live Action	Contemporary Fiction	3337	40	16.58	66.22	66.22	86.19	152.41	R	1.75	6.3	71
35	9/20/24	2024	Transformers One	Paramount Pictures	Adventure	Adventure	Digital Animation	Science Fiction	3978	75	24.61	59.1	59.1	69.22	128.32	PG	1.733	7.6	89
36	10/4/24	2024	Joker: Folie a Deux	Warner Bros.	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	4102	190	37.68	58.3	58.3	149.2	207.5	R	2.3	5.2	31
37	10/11/24	2024	Terrifier 3	Iconic/Cineverse	Horror	Horror	Live Action	Contemporary Fiction	2762	2	18.93	53.98	53.98	22.36	76.34	Unrated	2.083	6.3	78
38	4/26/24	2024	Challengers	Amazon MGM Studios	Drama	Drama	Live Action	Contemporary Fiction	3477	55	15.01	50.12	50.12	46	96.12	R	2.183	7	88
39	2/2/24	2024	Argylle	Universal	Action	Action	Live Action	Contemporary Fiction	3647	200	17.47	45.21	45.21	51.02	96.23	PG-13	2.317	5.6	33
40	2/14/24	2024	Madame Web	Sony Pictures	Action	Action	Live Action	Super Hero	4013	80	15.34	43.82	43.82	56.48	100.3	PG-13	1.933	4.1	10
41	8/2/24	2024	Trap	Warner Bros.	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3181	30	15.45	42.78	42.78	40.9	83.68	PG-13	1.75	5.8	56
42	11/8/24	2024	The Best Christmas Pageant Ever	Lionsgate	Comedy	Comedy	Live Action	Contemporary Fiction	3020	20	10.77	40.05	40.05	0.22	40.27	PG	1.65	6.8	92
43	9/13/24	2024	Speak No Evil	Universal	Horror	Horror	Live Action	Contemporary Fiction	3375	15	11.4	36.93	36.93	40.31	77.24	R	1.833	6.8	83
44	5/17/24	2024	The Strangers: Chapter 1	Lionsgate	Horror	Horror	Live Action	Contemporary Fiction	2856	8.5	11.83	35.2	35.2	12.24	47.45	R	1.517	4.7	21
45	10/25/24	2024	Conclave	Focus Features	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	2377	20	6.6	32.58	32.58	70.52	103.1	PG	2	7.4	93
46	1/5/24	2024	Night Swim	Universal	Horror	Horror	Live Action	Contemporary Fiction	3257	15	11.8	32.49	32.49	22.29	54.79	PG-13	1.633	4.7	19
47	8/30/24	2024	Reagan	ShowBiz Direct	Drama	Drama	Live Action	Dramatization	2770	25	7.65	29.4	29.4	0.04	29.44	PG-13	2.35	6.1	
48	8/23/24	2024	The Forge	Sony Pictures	Drama	Drama	Live Action	Contemporary Fiction	1921	5	6.66	29.12	29.12	0.57	29.69	PG	2.067	6.8	63
49	6/28/24	2024	Horizon: An American Saga Chapter 1	Warner Bros.	Other	Western	Live Action	Historical Fiction	3334	50	11.05	29.04	29.04	9.8	38.84	R	3.017	6.6	51
50	12/25/24	2024	Babygirl	A24	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	2164	20	4.49	28.18	28.18	35.57	63.75	R	1.9	5.8	76
51	3/8/24	2024	Imaginary	Lionsgate	Horror	Horror	Live Action	Contemporary Fiction	3118	13	9.91	28.01	28.01	15.66	43.67	PG-13	1.733	4.7	25
52	11/8/24	2024	Heretic	A24	Horror	Horror	Live Action	Contemporary Fiction	3230	0	10.83	27.72	27.72	30.38	58.09	R	1.85	7	90
53	4/19/24	2024	Abigail	Universal	Horror	Horror	Live Action	Contemporary Fiction	3393	28	10.3	25.87	25.87	17.17	43.04	R	1.817	6.5	83
54	4/5/24	2024	Monkey Man	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3037	10	10.12	25.12	25.12	10.15	35.27	R	2.017	6.8	89
55	3/15/24	2024	Arthur the King	Lionsgate	Adventure	Adventure	Live Action	Dramatization	3003	19	7.63	25.05	25.05	7.16	32.21	PG-13	1.783	7	70
56	12/13/24	2024	Kraven the Hunter	Sony Pictures	Action	Action	Live Action	Super Hero	3211	110	11	25.03	25.03	34.99	60.01	R	2.117	5.5	15
57	10/11/24	2024	We Live in Time	A24	Drama	Drama	Live Action	Contemporary Fiction	2964	0	0.23	24.69	24.69	32.43	57.12	R	1.8	7	79
58	8/23/24	2024	Blink Twice	Amazon MGM Studios	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3067	0	7.3	23.09	23.09	25	48.09	R	1.7	6.5	75
59	6/21/24	2024	The Bikeriders	Focus Features	Drama	Drama	Live Action	Historical Fiction	2692	0	9.7	21.75	21.75	14.56	36.3				
60	12/20/24	2024	Homestead	Angel Studios	Drama	Drama	Live Action	Contemporary Fiction	1886	0	6	20.81	20.81	0	20.82	PG-13	1.867	5.2	45
61	4/19/24	2024	The Ministry of Ungentlemanly Warfare	Lionsgate	Action	Action	Live Action	Dramatization	2845	60	8.91	20.54	20.54	6.46	26.99	R	2.033	6.8	68
62	7/12/24	2024	Fly Me to the Moon	Sony Pictures	Comedy	Romantic Comedy	Live Action	Historical Fiction	3356	100	9.4	20.53	20.53	17.67	38.2	PG-13	2.2	6.6	66
63	10/18/24	2024	Anora	Neon	Comedy	Comedy	Live Action	Contemporary Fiction	1938	6	0.55	20.47	20.47	37.75	58.22	R	2.317	7.4	93
64	4/26/24	2024	Unsung Hero	Lionsgate	Drama	Drama	Live Action	Dramatization	2832	6	7.73	20.34	20.34	0.86	21.19	PG	1.883	7	
65	4/5/24	2024	The First Omen	20th Century Studios	Horror	Horror	Live Action	Contemporary Fiction	3375	30	8.35	20.09	20.09	33.9	53.99	R	1.983	6.5	83
66	3/8/24	2024	Cabrini	Angel Studios	Drama	Drama	Live Action	Dramatization	2850	50	7.17	19.51	19.51	1.08	20.59	PG-13	2.367	7.3	90
67	2/23/24	2024	Ordinary Angels	Lionsgate	Drama	Drama	Live Action	Dramatization	3020	13	6.16	19.17	19.17	1.28	20.45	PG	1.967	7.4	84
68	6/7/24	2024	The Watchers	Warner Bros.	Horror	Horror	Live Action	Science Fiction	3351	30	7	19.16	19.16	14.3	33.46	PG-13	1.7	5.7	33
69	5/3/24	2024	Tarot	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	3104	8	6.5	18.77	18.77	30.33	49.1	PG-13	1.533	4.8	17
70	6/27/24	2024	Kalki 2898-AD	Prathyangira Cinemas	Action	Action	Live Action	Science Fiction	1049	0	5.67	18.29	18.29	107.57	125.86	Not Rated	3	7	77
71	2/23/24	2024	Demon Slayer: Kimetsu no Yaiba	Crunchyroll	Action	Action	Digital Animation	Fantasy	1949	0	11.51	17.66	17.66	32.78	50.44	R	1.733	7.2	
72	8/2/24	2024	Harold and the Purple Crayon	Sony Pictures	Adventure	Adventure	Animation/Live Action	Kids Fiction	3325	40	6	17.64	17.64	8.89	26.53	PG	1.5	5.7	27
73	9/20/24	2024	The Substance	MUBI	Horror	Horror	Live Action	Science Fiction	1949	17.5	3.21	17.58	17.58	59.72	77.31	R	2.35	7.2	89
74	12/20/24	2024	The Brutalist	A24	Drama	Drama	Live Action	Historical Fiction	1612	0	0.27	16.25	16.25	34.03	50.28	R	3.6	7.3	93
75	3/22/24	2024	Immaculate	Neon	Horror	Horror	Live Action	Contemporary Fiction	2362	0	5.34	15.67	15.67	9.38	25.05	R	1.483	5.8	72
76	8/9/24	2024	Borderlands	Lionsgate	Action	Action	Live Action	Science Fiction	3125	115	8.6	15.48	15.48	17.46	32.94	PG-13	1.683	4.7	10
77	7/5/24	2024	MaXXXine	A24	Horror	Horror	Live Action	Historical Fiction	2450	0	6.71	15.1	15.1	6.96	22.06	R	1.717	6.2	73
78	2/1/24	2024	The Chosen: Season 4 Episodes 1-3	Fathom Events	Drama	Drama	Live Action	Dramatization	2281	0	0	14.41	14.41	0	14.41				
79	12/5/24	2024	Pushpa: The Rule - Part 2	Prathyangira Cinemas	Action	Action	Live Action	Contemporary Fiction	1245	0	4.8	13	13	141.62	154.62		3.35	6.1	
80	9/13/24	2024	Am I Racist?	SDG Releasing	Other	Documentary	Live Action	Factual	1600	3	4.54	12.31	12.31	0	12.31	PG-13	1.667	6.6	56
81	11/1/24	2024	Here	Sony Pictures	Drama	Drama	Live Action	Historical Fiction	2733	50	4.88	12.24	12.24	3.76	15.99	PG-13	1.733	6.3	36
82	11/22/24	2024	Bonhoeffer: Pastor. Spy. Assassin	Angel Studios	Thriller/Suspense	Thriller/Suspense	Live Action	Dramatization	1900	0	5.05	12.22	12.22	0.47	12.69	PG-13	2.217	6.2	66
83	7/4/24	2024	Sound of Hope: The Story of Possum Trot	Angel Studios	Drama	Drama	Live Action	Dramatization	2200	8.5	3.08	11.65	11.65	0.02	11.67	PG-13	2.167	7.2	82
84	9/20/24	2024	Never Let Go	Lionsgate	Horror	Horror	Live Action	Science Fiction	2667	20	4.45	10.31	10.31	11.45	21.76	R	1.683	5.4	57
85	3/22/24	2024	Late Night with the Devil	IFC Films	Horror	Horror	Live Action	Historical Fiction	1442	0	2.83	10	10	6.76	16.77				
86	2/9/24	2024	Lisa Frankenstein	Focus Features	Comedy	Comedy	Live Action	Science Fiction	3144	0	3.7	9.77	9.77	0.15	9.93	PG-13	1.683	6.1	52
87	10/11/24	2024	Piece by Piece	Focus Features	Other	Documentary	Digital Animation	Factual	1873	0	3.85	9.76	9.76	0.99	10.75	PG	1.55	6.9	83
88	9/27/24	2024	Saturday Night	Sony Pictures	Comedy	Comedy	Live Action	Dramatization	2336	0	0.27	9.51	9.51	0.47	9.98	R	1.817	6.9	77
89	2/15/24	2024	The Chosen: Season 4 Episodes 4-6	Fathom Events	Drama	Drama	Live Action	Dramatization	2272	0	3.62	9.48	9.48	0	9.48				
90	8/23/24	2024	The Crow	Lionsgate	Action	Action	Live Action	Super Hero	2752	50	4.64	9.28	9.28	6.68	15.95	R	1.85	4.7	88
