ONET.SOC.2010.Code	OPR.Job.Title	OPR.Field.Title	Prestige1989_GSS	Prestige2012_GSS	Prestige2016_OPR	NumEmployedK	MeanAnnualSal	MedianAnnualSal	Manual	MedSalK
17-2141.00	Mechanical Engineer	EngineeringArchitecture	64.14	6.6	73.91	281.29	105220	99510	0	99.51
17-2151.00	Mining and/or Geological Engineer (including Mining Safety Engineer)	EngineeringArchitecture	59.62	5.8	63.26	7.04	105460	100640	0	100.64
17-2161.00	Nuclear Engineer	EngineeringArchitecture	63.3	6.3	81.45	12.71	126950	125460	0	125.46
17-2171.00	Petroleum Engineer	EngineeringArchitecture	65.85	6	65.93	20.39	148590	135690	0	135.69
17-2199.09	Nanosystems Engineer	EngineeringArchitecture	70.69	NA	77.16	150.99	118350	111970	0	111.97
17-2199.08	Robotics Engineer	EngineeringArchitecture	70.69	NA	77.78	150.99	118350	111970	0	111.97
17-2199.04	Manufacturing Engineer	EngineeringArchitecture	70.69	NA	66.66	150.99	118350	111970	0	111.97
17-2199.02	Validation Engineer	EngineeringArchitecture	70.69	NA	63.24	150.99	118350	111970	0	111.97
17-2199.07	Photonics Engineer	EngineeringArchitecture	70.69	NA	75.62	150.99	118350	111970	0	111.97
17-2199.00	Other - Engineer	EngineeringArchitecture	70.69	6.6	74.91	150.99	118350	111970	0	111.97
17-2199.10	Wind Energy Engineer	EngineeringArchitecture	70.69	NA	70.33	150.99	118350	111970	0	111.97
17-2199.01	Biochemical Engineer	EngineeringArchitecture	64.27	NA	80.51	150.99	118350	111970	0	111.97
17-2199.03	Energy Engineer	EngineeringArchitecture	70.69	NA	72.79	150.99	118350	111970	0	111.97
17-2199.11	Solar Energy Systems Engineer	EngineeringArchitecture	70.69	NA	69.82	150.99	118350	111970	0	111.97
17-2199.06	Microsystems Engineer	EngineeringArchitecture	70.69	NA	74.87	150.99	118350	111970	0	111.97
17-2199.05	Mechatronics Engineer	EngineeringArchitecture	70.69	NA	74.49	150.99	118350	111970	0	111.97
17-3011.02	Architectural and/or Civil Drafter	EngineeringArchitecture	51.49	NA	68.37	111.07	65000	61820	0	61.82
17-3011.01	Architectural and/or Civil Drafter	EngineeringArchitecture	51.49	NA	68.37	111.07	65000	61820	0	61.82
17-3011.00	Architectural and/or Civil Drafter	EngineeringArchitecture	51.49	4.8	68.37	111.07	65000	61820	0	61.82
17-3012.02	Electrical and/or Electronics Drafter	EngineeringArchitecture	51.49	NA	59.31	20.68	73110	69260	0	69.26
17-3012.00	Electrical and/or Electronics Drafter	EngineeringArchitecture	51.49	NA	59.31	20.68	73110	69260	0	69.26
