"Dataset.Name","Cases","Variables","Categorical.Variables","Quantitative.Variables","Topics","Data.Link","Documentation.Link"
"OKCupid_CatsDogs",59943,4,4,0,"","[Link to OKCupid_CatsDogs data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/OKCupid_CatsDogs/OKCupid_CatsDogs.txt)","[Link to OKCupid_CatsDogs documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/OKCupid_CatsDogs/readme.md)"
"Passive_smoke",150,2,1,1,"","[Link to Passive_smoke data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Passive_smoke/Passive_smoke.txt)","[Link to Passive_smoke documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Passive_smoke/readme.md)"
"Pizza_prices",156,9,0,9,"","[Link to Pizza_prices data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Pizza_prices/Pizza_prices.txt)","[Link to Pizza_prices documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Pizza_prices/readme.md)"
"Population_growth_2010",51,3,2,1,"","[Link to Population_growth_2010 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Population_growth_2010/Population_growth_2010.txt)","[Link to Population_growth_2010 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Population_growth_2010/readme.md)"
"Poverty_and_Region_2022",4,4,1,3,"","[Link to Poverty_and_Region_2022 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Poverty_and_Region_2022/Poverty_and_Region_2022.txt)","[Link to Poverty_and_Region_2022 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Poverty_and_Region_2022/readme.md)"
"Prisons_2022",50,4,1,3,"","[Link to Prisons_2022 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Prisons_2022/Prisons_2022.txt)","[Link to Prisons_2022 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Prisons_2022/readme.md)"
"Receivers_2024",500,16,3,13,"","[Link to Receivers_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Receivers_2024/Receivers_2024.txt)","[Link to Receivers_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Receivers_2024/readme.md)"
"Rock_concert_deaths",164,5,4,1,"","[Link to Rock_concert_deaths data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Rock_concert_deaths/Rock_concert_deaths.txt)","[Link to Rock_concert_deaths documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Rock_concert_deaths/readme.md)"
"Run_times",236,1,0,1,"","[Link to Run_times data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Run_times/Run_times.txt)","[Link to Run_times documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Run_times/readme.md)"
"Scorecard",3676,39,24,13,"","[Link to Scorecard data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Scorecard/Scorecard.txt)","[Link to Scorecard documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Scorecard/readme.md)"
"Shoe_Sizes",268,2,1,1,"","[Link to Shoe_Sizes data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Shoe_Sizes/Shoe_Sizes.txt)","[Link to Shoe_Sizes documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Shoe_Sizes/readme.md)"
