SCHOOL	DISTRICT	CHARTER	ACT.COMPOSITE	TEST.TAKERS
Wauzeka High	Wauzeka-Steuben	No	19.59	17
Webster High	Webster	No	19.52	47
Central High	West Allis-West Milwaukee	No	16.64	235
Deeper Learning Virtual Academy	West Allis-West Milwaukee	Yes	15	15
James E Dottke Alternative School	West Allis-West Milwaukee	No	16.07	30
Nathan Hale High	West Allis-West Milwaukee	No	17.29	283
East High	West Bend	No	20.11	247
West High	West Bend	No	20.45	228
West De Pere High	West De Pere	No	21.25	258
West Salem High	West Salem	No	20.1	146
Westby High	Westby Area	No	18.69	60
Westfield Area High	Westfield	No	20.98	56
Weston Sr High School	Weston	No	15.29	17
Weyauwega High	Weyauwega-Fremont	No	18.04	55
White Lake High	White Lake	No	17.33	16
Whitefish Bay High	Whitefish Bay	No	24.5	223
Whitehall Memorial Junior/Senior High	Whitehall	No	17.21	49
Whitewater High	Whitewater Unified	No	17.33	125
Whitnall High	Whitnall	No	20.79	192
Wild Rose High	Wild Rose	No	17.38	33
Williams Bay High	Williams Bay	No	19.1	42
Wilmot High	Wilmot UHS	No	19.87	219
Winneconne High	Winneconne Community	No	20.59	132
Winter High	Winter	No	19.94	19
Wisconsin Dells High	Wisconsin Dells	No	19.26	142
Wisconsin Heights High	Wisconsin Heights	No	22.38	43
Lincoln High	Wisconsin Rapids	No	19.46	311
River Cities High	Wisconsin Rapids	No	15.18	28
Wittenberg-Birnamwood High	Wittenberg-Birnamwood	No	18.71	71
Wonewoc-Center High	Wonewoc-Union Center	No	18.91	32
Wrightstown High	Wrightstown Community	No	21.07	103
