Global.North.South	AI.Improve.Healthcare
836	Global North	Medium
837	Global North	Little
839	Global North	Much
840	Global North	Medium
841	Global North	Much
842	Global North	Medium
843	Global North	Medium
844	Global North	Very much
845	Global North	Medium
846	Global North	Very much
847	Global North	Medium
848	Global North	Very much
849	Global North	Medium
850	Global North	Little
851	Global North	Medium
852	Global North	Much
854	Global North	Medium
855	Global North	Little
856	Global North	Much
857	Global North	Medium
858	Global North	Medium
859	Global North	Much
860	Global North	Medium
861	Global North	Medium
862	Global North	Medium
863	Global North	Medium
864	Global North	Medium
865	Global North	Much
866	Global North	Little
867	Global North	Much
868	Global North	Medium
869	Global North	Medium
870	Global North	Medium
871	Global North	Very much
872	Global North	Medium
873	Global North	Medium
874	Global North	Medium
875	Global North	Medium
876	Global North	Medium
877	Global North	Medium
878	Global North	Medium
879	Global North	Much
880	Global North	Medium
881	Global North	Much
882	Global North	Medium
883	Global North	Much
884	Global North	Medium
885	Global North	Much
886	Global North	Medium
888	Global North	Little
889	Global North	Much
890	Global North	Little
891	Global North	Much
892	Global North	Medium
893	Global North	Little
894	Global North	Little
895	Global North	Medium
896	Global North	Very much
897	Global North	Much
898	Global North	Very much
899	Global North	Very much
900	Global North	Medium
901	Global North	Much
902	Global North	Medium
903	Global North	Very little
904	Global North	Medium
905	Global North	Much
906	Global North	Little
907	Global North	Medium
908	Global North	Very much
909	Global North	Much
910	Global North	Medium
911	Global North	Very much
912	Global North	Medium
913	Global North	Medium
914	Global North	Little
915	Global North	Much
916	Global North	Medium
917	Global North	Medium
918	Global North	Medium
919	Global North	Medium
920	Global North	Little
921	Global North	Little
922	Global North	Much
923	Global North	Medium
924	Global North	Little
927	Global North	Little
928	Global North	Medium
929	Global North	Medium
930	Global North	Medium
931	Global North	Medium
932	Global North	Much
934	Global North	Medium
936	Global North	Medium
937	Global North	Medium
938	Global North	Very little
939	Global North	Little
941	Global North	Medium
942	Global North	Much
943	Global North	Much
945	Global North	Much
946	Global North	Much
947	Global North	Medium
948	Global North	Little
949	Global North	Very much
950	Global North	Very much
951	Global North	Medium
952	Global North	Very much
953	Global North	Medium
954	Global North	Medium
958	Global North	Medium
959	Global North	Much
961	Global North	Little
963	Global North	Very much
965	Global North	Very little
967	Global North	Much
968	Global North	Medium
969	Global North	Little
970	Global North	Much
971	Global North	Medium
972	Global North	Medium
974	Global North	Medium
975	Global North	Medium
976	Global North	Little
977	Global North	Little
978	Global North	Medium
979	Global North	Much
981	Global North	Medium
982	Global North	Much
983	Global North	Very much
984	Global North	Medium
986	Global North	Medium
987	Global North	Much
988	Global North	Very much
989	Global North	Medium
990	Global North	Medium
991	Global North	Very much
992	Global North	Little
993	Global North	Very little
994	Global North	Medium
995	Global North	Medium
996	Global North	Little
997	Global North	Medium
998	Global North	Little
999	Global North	Very much
1000	Global North	Much
1001	Global North	Very much
1002	Global North	Very little
1003	Global North	Medium
1004	Global North	Medium
1005	Global North	Very much
1006	Global North	Much
1007	Global North	Medium
1008	Global North	Much
1009	Global North	Very much
1010	Global North	Little
1011	Global North	Very much
1013	Global North	Medium
1014	Global North	Little
1015	Global North	Much
1016	Global North	Medium
1017	Global North	Much
1018	Global North	Medium
1019	Global North	Medium
1020	Global North	Much
1021	Global North	Much
1022	Global North	Very much
1023	Global North	Much
1024	Global North	Little
1025	Global North	Medium
1026	Global North	Little
1027	Global North	Medium
1028	Global North	Medium
1029	Global North	Medium
1030	Global North	Little
1031	Global North	Very little
1032	Global North	Medium
1033	Global North	Very much
1034	Global North	Medium
